ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
808,Big Mutha Truckers 2,PS2,2005-01-01,Racing,Xplosiv,0.1,0.07,0.0,0.03
809,Big Strike Bowling,PS,2003-01-01,Sports,Gotham Games,0.23,0.16,0.0,0.03
810,Bigfoot King of Crush,Wii,2011-01-01,Racing,Zoo Games,0.02,0.0,0.0,0.0
811,Bigfoot: Collision Course,Wii,2008-01-01,Racing,Zoo Digital Publishing,0.3,0.0,0.0,0.02
812,Biker Mice From Mars,PS2,2006-01-01,Racing,Game Factory,0.03,0.02,0.0,0.01
813,Billy Hatcher and the Giant Egg,GC,2003-01-01,Platform,Sega,0.19,0.05,0.0,0.01
814,Billy the Wizard: Rocket Broomstick Racing,Wii,2007-01-01,Racing,Metro 3D,0.04,0.0,0.0,0.0
815,Billy's Boot Camp: Wii de Enjoy Diet!,Wii,2011-01-01,Sports,Rocket Company,0.0,0.0,0.07,0.0
816,Binary Domain,PS3,2012-01-01,Action,Sega,0.09,0.07,0.14,0.03
817,Binary Star,PSV,2014-01-01,Adventure,Idea Factory,0.0,0.0,0.01,0.0
818,Bio FREAKS,PS,1998-01-01,Action,GT Interactive,0.07,0.05,0.0,0.01
819,BioShock,PS3,2008-01-01,Shooter,Take-Two Interactive,0.75,0.46,0.01,0.2
820,BioShock 2,X360,2010-01-01,Shooter,Take-Two Interactive,1.45,0.54,0.02,0.19
821,BioShock Infinite,PS3,2013-01-01,Shooter,Take-Two Interactive,0.72,0.65,0.04,0.28
822,BioShock The Collection,XOne,2016-01-01,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01
823,Biohazard: Revival Selection,PS3,2011-01-01,Action,Capcom,0.0,0.0,0.18,0.0
824,Bionic Commando,PS3,2009-01-01,Platform,Capcom,0.12,0.17,0.01,0.06
825,Bionicle,PS2,2003-01-01,Action,Electronic Arts,0.21,0.17,0.0,0.06
826,Bionicle Heroes,GC,2006-01-01,Shooter,Eidos Interactive,0.08,0.02,0.0,0.0
827,Bionicle: Matoran Adventures,GBA,2002-01-01,Platform,Electronic Arts,0.18,0.07,0.0,0.0
828,Birds of Steel,PS3,2012-01-01,Simulation,Konami Digital Entertainment,0.1,0.08,0.02,0.03
829,Birthday Party Bash,Wii,2009-01-01,Misc,Take-Two Interactive,0.29,0.0,0.0,0.02
830,Bishoujo Senshi Sailormoon R,SNES,1993-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0
831,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994-01-01,Fighting,Angel Studios,0.0,0.0,0.12,0.0
832,Black,PS2,2006-01-01,Shooter,Electronic Arts,1.01,0.04,0.03,0.16
833,Black & Bruised,PS2,2003-01-01,Fighting,Vivendi Games,0.08,0.06,0.0,0.02
834,Black & White,PC,2001-01-01,Strategy,Electronic Arts,0.0,0.04,0.0,0.0
835,Black & White 2,PC,2005-01-01,Strategy,Electronic Arts,0.01,0.07,0.0,0.01
836,Black * Rock Shooter: The Game,PSP,2011-01-01,Role-Playing,Unknown,0.0,0.0,0.15,0.0
837,Black Bass with Blue Marlin,PS,1999-01-01,Sports,Starfish,0.06,0.04,0.0,0.01
838,Black Cat,PS2,2006-01-01,Action,Capcom,0.0,0.0,0.01,0.0
839,Black Dawn,PS,1996-01-01,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01
840,Black Jack vs. Matsudajun,PS,2000-01-01,Misc,Pony Canyon,0.03,0.02,0.0,0.0
841,Black Mirror 2,PC,2009-01-01,Adventure,DTP Entertainment,0.0,0.04,0.0,0.01
842,Black Rose Valkyrie,PS4,2016-01-01,Role-Playing,Idea Factory,0.0,0.0,0.02,0.0
843,Black Sigil: Blade of the Exiled,DS,2009-01-01,Role-Playing,Graffiti,0.05,0.0,0.0,0.0
844,Black Stone: Magic & Steel,XB,2003-01-01,Role-Playing,THQ,0.03,0.01,0.0,0.0
845,Black/Matrix,SAT,1998-01-01,Strategy,NEC Interchannel,0.0,0.0,0.08,0.0
846,Blacksite: Area 51,X360,2007-01-01,Shooter,Midway Games,0.29,0.22,0.0,0.06
847,Blackthorne,GBA,2003-01-01,Action,Activision,0.01,0.0,0.0,0.0
848,Blackwater,X360,2011-01-01,Shooter,505 Games,0.09,0.02,0.0,0.01
849,Blade Arcus from Shining EX,PS3,2015-01-01,Fighting,Sega,0.0,0.0,0.02,0.0
850,Blade Dancer: Lineage of Light,PSP,2006-01-01,Role-Playing,Atari,0.05,0.0,0.0,0.0
851,Blade II,XB,2002-01-01,Action,Activision,0.1,0.03,0.0,0.0
852,Blades of Blood: Samurai Shodown III,PS,1995-01-01,Fighting,Sony Computer Entertainment,0.05,0.03,0.0,0.01
853,Blades of Time,X360,2012-01-01,Action,Konami Digital Entertainment,0.07,0.02,0.0,0.01
854,Bladestorm: Nightmare,PS4,2015-01-01,Action,Tecmo Koei,0.08,0.04,0.03,0.02
855,Bladestorm: The Hundred Years' War,PS3,2007-01-01,Action,Tecmo Koei,0.1,0.03,0.14,0.02
856,Blast Chamber,PS,1996-01-01,Shooter,Activision,0.05,0.04,0.0,0.01
857,Blast Corps,N64,1997-01-01,Action,Nintendo,0.39,0.09,0.17,0.06
858,Blast Lacrosse,PS,2001-01-01,Sports,Acclaim Entertainment,0.03,0.02,0.0,0.0
859,Blast Radius,PS,1998-01-01,Action,Psygnosis,0.04,0.03,0.0,0.0
860,"Blast Works: Build, Trade, Destroy",Wii,2008-01-01,Shooter,Eidos Interactive,0.09,0.0,0.0,0.01
861,Blaster Master: Blasting Again,PS,2000-01-01,Shooter,Sunsoft,0.14,0.1,0.0,0.02
862,Blasto,PS,1998-01-01,Action,Sony Computer Entertainment,0.2,0.13,0.0,0.02
863,BlazBlue Central Fiction,PS3,2016-01-01,Fighting,PQube,0.02,0.02,0.02,0.01
864,BlazBlue: Calamity Trigger,PC,2010-01-01,Fighting,PQube,0.0,0.01,0.0,0.0
865,BlazBlue: Calamity Trigger Portable,PSP,2010-01-01,Fighting,PQube,0.07,0.01,0.03,0.01
866,BlazBlue: Chrono Phantasma,PSV,2014-01-01,Fighting,Arc System Works,0.03,0.0,0.03,0.01
867,BlazBlue: Chrono Phantasma Extend,XOne,2015-01-01,Action,PQube,0.05,0.01,0.0,0.01
868,BlazBlue: Continuum Shift,PS3,2010-01-01,Fighting,PQube,0.21,0.07,0.09,0.04
869,BlazBlue: Continuum Shift II,PSP,2011-01-01,Fighting,PQube,0.03,0.02,0.07,0.01
870,Blazblue: Continuum Shift Extend,PSP,2012-01-01,Fighting,Arc System Works,0.0,0.0,0.01,0.0
871,Blaze Union: Story to Reach the Future,PSP,2010-01-01,Role-Playing,Sting,0.0,0.0,0.03,0.0
872,Blazer Drive,DS,2008-01-01,Role-Playing,Sega,0.0,0.0,0.01,0.0
873,Blazing Angels 2: Secret Missions of WWII,X360,2007-01-01,Simulation,Ubisoft,0.11,0.02,0.0,0.01
874,Blazing Angels: Squadrons of WWII,Wii,2007-01-01,Simulation,Ubisoft,0.74,0.04,0.0,0.06
875,Blazing Dragons,PS,1996-01-01,Adventure,Crystal Dynamics,0.08,0.06,0.0,0.01
876,Blazing Heroes,SAT,1995-01-01,Role-Playing,Sega,0.0,0.0,0.3,0.0
877,Blazing Souls,PS2,2006-01-01,Role-Playing,Idea Factory,0.0,0.0,0.02,0.0
878,Blazing Souls: Accelate,PSP,2009-01-01,Role-Playing,Idea Factory,0.04,0.0,0.01,0.0
879,Bleach DS 4th: Flame Bringer,DS,2009-01-01,Action,Sega,0.0,0.0,0.03,0.0
880,Bleach GC: Tasogare Ni Mamieru Shinigami,GC,2005-01-01,Fighting,Sega,0.0,0.0,0.08,0.0
881,Bleach: Blade Battlers,PS2,2006-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.05,0.0
882,Bleach: Blade Battlers 2nd,PS2,2007-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.06,0.0
883,Bleach: Dark Souls,DS,2007-01-01,Fighting,Sega,0.12,0.02,0.0,0.01
884,Bleach: Dark Souls (JP sales),DS,2007-01-01,Fighting,Sega,0.0,0.0,0.1,0.0
885,Bleach: Erabareshi Tamashii,PS2,2005-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0
886,Bleach: Hanatareshi Yabou,PS2,2006-01-01,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.07,0.0
887,Bleach: Heat the Soul,PSP,2005-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.09,0.0
888,Bleach: Heat the Soul 3,PSP,2006-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.07,0.0
889,Bleach: Heat the Soul 4,PSP,2007-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0
890,Bleach: Heat the Soul 5,PSP,2008-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0
891,Bleach: Heat the Soul 6,PSP,2009-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.09,0.0
892,Bleach: Heat the Soul 7,PSP,2010-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0
893,Bleach: Shattered Blade,Wii,2006-01-01,Fighting,Sega,0.21,0.01,0.08,0.02
894,Bleach: Soul Carnival,PSP,2008-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.05,0.0
895,Bleach: Soul Carnival 2,PSP,2009-01-01,Fighting,Sony Computer Entertainment,0.0,0.0,0.03,0.0
896,Bleach: Soul Resurreccion,PS3,2011-01-01,Fighting,Nippon Ichi Software,0.27,0.1,0.07,0.05
897,Bleach: The 3rd Phantom,DS,2008-01-01,Role-Playing,Sega,0.1,0.02,0.07,0.01
898,Bleach: The Blade of Fate,DS,2006-01-01,Fighting,Sega,0.29,0.01,0.12,0.03
899,Bleach: Versus Crusade,Wii,2008-01-01,Fighting,Sega,0.0,0.0,0.06,0.0
900,Blender Bros.,GBA,2002-01-01,Platform,Unknown,0.02,0.01,0.0,0.0
901,Blinx 2: Masters of Time & Space,XB,2004-01-01,Platform,Microsoft Game Studios,0.12,0.03,0.0,0.01
902,Blinx: The Time Sweeper,XB,2002-01-01,Platform,Microsoft Game Studios,0.39,0.15,0.0,0.02
903,Blitz: Overtime,PSP,2006-01-01,Sports,Midway Games,0.09,0.0,0.0,0.01
904,Blitz: The League,XB,2004-01-01,Sports,Midway Games,0.4,0.11,0.0,0.02
905,Blitz: The League II,X360,2008-01-01,Sports,Midway Games,0.08,0.01,0.0,0.01
906,Blitzkrieg 2 Anthology,PC,2008-01-01,Strategy,Ascaron Entertainment GmbH,0.0,0.01,0.0,0.0
907,Block Kuzushi,SNES,1995-01-01,Puzzle,Pow,0.0,0.0,0.05,0.0
908,Block Party,Wii,2008-01-01,Misc,Activision,0.14,0.0,0.0,0.01
909,Blokus Portable: Steambot Championship,PSP,2006-01-01,Puzzle,Majesco Entertainment,0.03,0.0,0.0,0.0
910,Blood Bowl,PC,2009-01-01,Sports,Focus Home Interactive,0.02,0.02,0.0,0.0
911,Blood Bowl: Legendary Edition,PC,2010-01-01,Sports,Focus Home Interactive,0.0,0.01,0.0,0.0
912,Blood Drive,X360,2010-01-01,Racing,Activision,0.09,0.01,0.0,0.01
913,Blood Omen 2,GC,2002-01-01,Action,Eidos Interactive,0.04,0.01,0.0,0.0
914,Blood Omen: Legacy of Kain,PS,1996-01-01,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03
915,Blood Wake,XB,2001-01-01,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02
916,Blood Will Tell: Tezuka Osamu's Dororo,PS2,2004-01-01,Adventure,Sega,0.02,0.02,0.0,0.01
917,Blood of Bahamut,DS,2009-01-01,Role-Playing,Square Enix,0.0,0.0,0.09,0.0
918,Blood: The Last Vampire (Joukan),PS2,2000-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.09,0.0
919,BloodRayne,XB,2002-01-01,Shooter,Universal Interactive,0.16,0.05,0.0,0.01
920,BloodRayne 2,XB,2004-01-01,Shooter,THQ,0.11,0.03,0.0,0.01
921,Bloodborne,PS4,2015-01-01,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38
922,Bloody Roar,PS,1997-01-01,Fighting,Virgin Interactive,0.22,0.15,0.0,0.03
923,Bloody Roar 3,PS2,2001-01-01,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04
924,Bloody Roar 4,PS2,2003-01-01,Fighting,Konami Digital Entertainment,0.05,0.04,0.0,0.01
925,Bloody Roar Extreme,XB,2003-01-01,Fighting,Hudson Soft,0.03,0.01,0.0,0.0
926,Bloody Roar II,PS,1999-01-01,Fighting,Virgin Interactive,0.25,0.17,0.0,0.03
927,Bloody Roar: Primal Fury,GC,2002-01-01,Fighting,Activision,0.14,0.04,0.0,0.0
928,BlowOut,PS2,2003-01-01,Shooter,Zoo Digital Publishing,0.11,0.09,0.0,0.03
929,Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996-01-01,Role-Playing,NEC,0.0,0.0,0.03,0.0
930,Blue Dragon,X360,2006-01-01,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08
931,Blue Dragon Plus,DS,2008-01-01,Role-Playing,Ignition Entertainment,0.12,0.03,0.05,0.01
932,Blue Dragon: Awakened Shadow,DS,2009-01-01,Role-Playing,Namco Bandai Games,0.06,0.0,0.03,0.0
933,Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010-01-01,Adventure,Nippon Ichi Software,0.0,0.0,0.04,0.0
934,Blue Stinger,DC,1999-01-01,Adventure,Activision,0.0,0.0,0.1,0.0
935,Blue's Clues: Blue's Big Musical,PS,2001-01-01,Misc,THQ,0.28,0.19,0.0,0.03
936,Blues Brothers 2000,N64,2000-01-01,Platform,Virgin Interactive,0.04,0.01,0.0,0.0
937,Blur,PC,2010-01-01,Racing,Activision,0.01,0.04,0.0,0.01
938,Board Game Classics,GBA,2005-01-01,Misc,"Destination Software, Inc",0.06,0.02,0.0,0.0
939,Board Game: Top Shop,PS,1999-01-01,Misc,Success,0.01,0.01,0.0,0.0
940,Bob the Builder: Can We Fix It?,PS,2000-01-01,Action,THQ,0.31,0.21,0.0,0.04
941,Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,GBA,2002-01-01,Action,Hudson Soft,0.0,0.0,0.03,0.0
942,Bode Miller Alpine Skiing,PS2,2006-01-01,Sports,Valcon Games,0.01,0.01,0.0,0.0
943,Body Harvest,N64,1998-01-01,Shooter,Gremlin Interactive Ltd,0.16,0.04,0.0,0.0
944,Body and Brain Connection,X360,2010-01-01,Misc,Namco Bandai Games,0.1,0.08,0.0,0.02
945,Bodycount,PS3,2011-01-01,Shooter,Codemasters,0.05,0.05,0.0,0.02
946,Bogey: Dead 6,PS,1996-01-01,Simulation,Sony Computer Entertainment,0.05,0.04,0.0,0.01
947,Boing! Docomodake DS,DS,2007-01-01,Puzzle,Ignition Entertainment,0.04,0.0,0.0,0.0
948,Boktai 2: Solar Boy Django,GBA,2004-01-01,Role-Playing,Konami Digital Entertainment,0.03,0.01,0.0,0.0
949,Boktai: The Sun is in Your Hand,GBA,2003-01-01,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0
950,Boku no Natsuyasumi,PS,2000-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.37,0.03
951,Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0
952,Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.08,0.0
953,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.19,0.0
954,Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.07,0.0
955,Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,2006-01-01,Adventure,Sony Computer Entertainment,0.0,0.0,0.1,0.0
956,Bolt,X360,2008-01-01,Adventure,Disney Interactive Studios,0.18,0.05,0.0,0.02
957,Bombastic,PS2,2002-01-01,Puzzle,Capcom,0.03,0.02,0.0,0.01
958,Bomberman,PSP,2006-01-01,Puzzle,Konami Digital Entertainment,0.14,0.0,0.0,0.01
959,Bomberman (jp sales),PSP,2006-01-01,Puzzle,Konami Digital Entertainment,0.0,0.0,0.01,0.0
960,Bomberman 2,DS,2008-01-01,Puzzle,Hudson Soft,0.0,0.01,0.0,0.0
961,Bomberman 64,N64,1997-01-01,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03
962,Bomberman 64: The Second Attack!,N64,1999-01-01,Adventure,Hudson Soft,0.05,0.01,0.11,0.0
963,Bomberman B-Daman,SNES,1996-01-01,Shooter,Hudson Soft,0.0,0.0,0.17,0.0
964,Bomberman Fantasy Race,PS,1998-01-01,Racing,Virgin Interactive,0.01,0.01,0.0,0.0
965,Bomberman Generation,GC,2002-01-01,Adventure,Vivendi Games,0.15,0.04,0.06,0.01
966,Bomberman Hero,N64,1998-01-01,Platform,Nintendo,0.27,0.06,0.08,0.05
967,Bomberman II,NES,1991-01-01,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1
968,Bomberman Jetters,GC,2002-01-01,Puzzle,Hudson Soft,0.06,0.02,0.0,0.0
969,Bomberman Land,PS,2000-01-01,Misc,Hudson Soft,0.0,0.0,0.15,0.01
970,Bomberman Land Touch!,DS,2006-01-01,Puzzle,Rising Star Games,0.04,0.0,0.04,0.0
971,Bomberman Land Touch! 2,DS,2007-01-01,Puzzle,Rising Star Games,0.13,0.0,0.01,0.01
972,Bomberman Max 2: Blue Advance,GBA,2002-01-01,Puzzle,Vivendi Games,0.07,0.02,0.0,0.0
973,Bomberman Max 2: Red Advance,GBA,2002-01-01,Puzzle,Vivendi Games,0.05,0.02,0.0,0.0
974,Bomberman Party Edition,PS,1998-01-01,Puzzle,Virgin Interactive,0.07,0.05,0.0,0.01
975,Bomberman Story DS,DS,2007-01-01,Role-Playing,Rising Star Games,0.0,0.0,0.02,0.0
976,Bomberman Tournament,GBA,2001-01-01,Puzzle,Activision,0.1,0.04,0.1,0.01
977,Bomberman World,PS,1998-01-01,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02
978,Bomberman: Act Zero,X360,2006-01-01,Puzzle,Konami Digital Entertainment,0.04,0.0,0.0,0.0
979,Boogie,PS2,2007-01-01,Misc,Electronic Arts,0.09,0.07,0.0,0.02
980,Boogie SuperStar,Wii,2008-01-01,Misc,Electronic Arts,0.2,0.02,0.0,0.02
981,Book of Spells,PS3,2012-01-01,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15
982,Bookworm,DS,2009-01-01,Puzzle,PopCap Games,0.3,0.01,0.0,0.02
983,Bookworm Deluxe,PC,2006-01-01,Puzzle,PopCap Games,0.01,0.0,0.0,0.0
984,Boom Blox,Wii,2008-01-01,Puzzle,Electronic Arts,0.71,0.38,0.0,0.12
985,Boom Blox Bash Party,Wii,2009-01-01,Puzzle,Electronic Arts,0.33,0.09,0.0,0.04
986,BoomBots,PS,1999-01-01,Fighting,SouthPeak Games,0.06,0.04,0.0,0.01
987,Boot Camp Academy,Wii,2010-01-01,Action,Zoo Games,0.03,0.0,0.0,0.0
988,Borderlands,PC,2009-01-01,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.03
989,Borderlands 2,X360,2012-01-01,Shooter,Take-Two Interactive,1.89,0.88,0.04,0.25
990,Borderlands: Double Game Add-On Pack,X360,2010-01-01,Shooter,Take-Two Interactive,0.1,0.02,0.0,0.01
991,Borderlands: The Handsome Collection,XOne,2015-01-01,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04
992,Borderlands: The Pre-Sequel,PS3,2014-01-01,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1
993,Botanicula,PC,2012-01-01,Adventure,Daedalic Entertainment,0.0,0.02,0.0,0.0
994,Bottom of the 9th,N64,1999-01-01,Sports,Konami Digital Entertainment,0.37,0.0,0.0,0.0
995,Bottom of the 9th '97,PS,1997-01-01,Sports,Konami Digital Entertainment,0.01,0.01,0.0,0.0
996,Bottom of the 9th '99,PS,1998-01-01,Sports,Konami Digital Entertainment,0.03,0.02,0.0,0.0
997,Boulder Dash: Rocks!,DS,2007-01-01,Puzzle,10TACLE Studios,0.0,0.03,0.0,0.0
998,Bound By Flame,PS4,2014-01-01,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03
999,Bounty Hounds,PSP,2006-01-01,Action,Namco Bandai Games,0.03,0.0,0.0,0.0
1000,Boxer's Road,PS,1995-01-01,Fighting,New,0.0,0.0,0.33,0.02
1001,Boxing,PS,2000-01-01,Fighting,Midas Interactive Entertainment,0.04,0.03,0.0,0.0
1002,Boxing Fever,GBA,2001-01-01,Sports,THQ,0.06,0.02,0.0,0.0
1003,Braid,PC,2009-01-01,Platform,Number None,0.0,0.02,0.0,0.0
1004,Brain Age 2: More Training in Minutes a Day,DS,2005-01-01,Puzzle,Nintendo,3.43,5.35,5.32,1.18
1005,Brain Age: Concentration Training,3DS,2012-01-01,Puzzle,Nintendo,0.09,0.0,0.0,0.01
1006,Brain Age: Train Your Brain in Minutes a Day,DS,2005-01-01,Misc,Nintendo,4.74,9.2,4.16,2.04
1007,Brain Assist,DS,2007-01-01,Misc,Sega,0.12,0.0,0.0,0.01
1008,Brain Boost: Beta Wave,DS,2005-01-01,Puzzle,505 Games,0.14,0.0,0.0,0.01
1009,Brain Boost: Gamma Wave,DS,2005-01-01,Puzzle,505 Games,0.14,0.0,0.0,0.01
1010,Brain Challenge,DS,2008-01-01,Misc,Ubisoft,0.41,0.0,0.0,0.03
1011,Brain Dead 13,PS,1996-01-01,Adventure,Coconuts Japan,0.01,0.01,0.0,0.0
1012,Brain Exercise With Dr. Kawashima,PC,2009-01-01,Puzzle,Namco Bandai Games,0.0,0.01,0.0,0.0
1013,Brain Quest: Grades 3 & 4,DS,2008-01-01,Misc,Electronic Arts,0.05,0.0,0.0,0.0
1014,Brain Quest: Grades 5 & 6,DS,2008-01-01,Misc,Electronic Arts,0.1,0.0,0.0,0.01
1015,Brain Voyage,DS,2008-01-01,Puzzle,Eidos Interactive,0.06,0.01,0.0,0.01
1016,Brandish: The Dark Revenant,PSP,2009-01-01,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0
1017,Bratz,GBA,2002-01-01,Platform,Ubisoft,0.1,0.04,0.0,0.0
1018,Bratz 4 Real,DS,2007-01-01,Adventure,THQ,0.29,0.22,0.0,0.06
1019,Bratz Kidz,DS,2008-01-01,Misc,Game Factory,0.03,0.0,0.0,0.0
1020,Bratz Ponyz,DS,2007-01-01,Adventure,Game Factory,0.26,0.0,0.0,0.02
1021,Bratz Ponyz 2,DS,2008-01-01,Adventure,Game Factory,0.24,0.0,0.0,0.02
1022,Bratz: Forever Diamondz,GC,2006-01-01,Adventure,THQ,0.17,0.04,0.0,0.01
1023,Bratz: Girlz Really Rock,Wii,2008-01-01,Action,THQ,0.19,0.0,0.0,0.02
1024,Bratz: Rock Angelz,GBA,2004-01-01,Misc,THQ,0.39,0.14,0.0,0.01
1025,Bratz: Super Babyz,DS,2008-01-01,Action,THQ,0.26,0.0,0.0,0.02
1026,Bratz: The Movie,PS2,2007-01-01,Simulation,THQ,0.24,0.18,0.0,0.06
1027,Brave Fencer Musashi,PS,1998-01-01,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07
1028,Brave Story: Boku no Kioku to Negai,DS,2006-01-01,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0
1029,Brave Story: New Traveler (US sales),PSP,2006-01-01,Role-Playing,Sony Computer Entertainment,0.11,0.0,0.0,0.0
1030,Brave Story: New Traveller (jp sales),PSP,2006-01-01,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.05,0.0
1031,Brave: A Warrior's Tale,X360,2009-01-01,Action,SouthPeak Games,0.05,0.01,0.0,0.0
1032,Brave: The Video Game,DS,2012-01-01,Action,Disney Interactive Studios,0.0,0.01,0.0,0.0
1033,Bravely Default: Flying Fairy,3DS,2012-01-01,Role-Playing,Nintendo,0.5,0.32,0.49,0.08
1034,Bravely Second: End Layer,3DS,2015-01-01,Role-Playing,Nintendo,0.17,0.1,0.18,0.03
1035,Bravo Air Race,PS,1997-01-01,Racing,THQ,0.08,0.05,0.0,0.01
1036,Breach,PC,2011-01-01,Shooter,Destineer,0.01,0.0,0.0,0.0
1037,Break 'Em All,DS,2005-01-01,Puzzle,D3Publisher,0.11,0.0,0.0,0.01
1038,Breakdown,XB,2004-01-01,Adventure,Electronic Arts,0.09,0.03,0.0,0.0
1039,Breakout,PS,1999-01-01,Puzzle,Hasbro Interactive,0.06,0.04,0.0,0.01
1040,Breath of Fire,GBA,2001-01-01,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0
1041,Breath of Fire II,GBA,2001-01-01,Role-Playing,Ubisoft,0.14,0.05,0.0,0.0
1042,Breath of Fire III,PS,1997-01-01,Role-Playing,Capcom,0.29,0.19,0.46,0.07
1043,Breath of Fire IV,PS,2000-01-01,Role-Playing,Capcom,0.11,0.08,0.34,0.04
1044,Breath of Fire: Dragon Quarter,PS2,2002-01-01,Role-Playing,Capcom,0.09,0.07,0.0,0.02
1045,Breeding Stud 2,PS,1998-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0
1046,Brian Lara Cricket,PS,1998-01-01,Sports,Codemasters,0.02,1.13,0.01,0.1
1047,Brigandine: The Legend of Forsena,PS,1998-01-01,Strategy,Atlus,0.05,0.03,0.0,0.01
1048,Brink,PC,2011-01-01,Shooter,Bethesda Softworks,0.06,0.09,0.0,0.03
1049,Britney's Dance Beat,GBA,2002-01-01,Misc,THQ,0.15,0.06,0.0,0.0
1050,Broken Helix,PS,1997-01-01,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.0
1051,Broken Sword 5: The Serpent's Curse,XOne,2015-01-01,Adventure,Revolution Software,0.0,0.02,0.0,0.0
1052,Broken Sword II: The Smoking Mirror,PS,1997-01-01,Adventure,Sony Computer Entertainment,0.03,0.02,0.0,0.0
1053,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009-01-01,Adventure,Ubisoft,0.11,0.1,0.0,0.02
1054,Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009-01-01,Adventure,Ubisoft,0.07,0.08,0.0,0.02
1055,Broken Sword: The Shadow of the Templars,GBA,2002-01-01,Adventure,BAM! Entertainment,0.04,0.02,0.0,0.0
1056,Broken Sword: The Sleeping Dragon,XB,2003-01-01,Adventure,THQ,0.01,0.0,0.0,0.0
1057,Brooktown High: Senior Year,PSP,2007-01-01,Simulation,Konami Digital Entertainment,0.09,0.0,0.0,0.01
1058,Brothers Conflict: Brilliant Blue,PSP,2013-01-01,Adventure,Idea Factory,0.0,0.0,0.03,0.0
1059,Brothers Conflict: Passion Pink,PSP,2012-01-01,Action,Idea Factory,0.0,0.0,0.03,0.0
1060,Brothers In Arms DS,DS,2007-01-01,Shooter,Ubisoft,0.03,0.0,0.0,0.0
1061,Brothers In Arms: D-Day,PSP,2006-01-01,Shooter,Ubisoft,0.23,0.14,0.0,0.09
1062,Brothers In Arms: Earned in Blood,PS2,2005-01-01,Shooter,Ubisoft,0.38,0.01,0.0,0.06
1063,Brothers In Arms: Road to Hill 30,XB,2005-01-01,Shooter,Ubisoft,0.49,0.14,0.0,0.02
