,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,venta_total,Date
104410,545176,22350,ILLUSTRATED CAT BOWL ,1,2011-02-28 14:19:00,0.0,,United Kingdom,0.0,2011-02-28
104940,545215,90200B,BLACK SWEETHEART BRACELET,1,2011-02-28 16:47:00,4.15,,United Kingdom,4.15,2011-02-28
105470,545226,22498,WOODEN REGATTA BUNTING,3,2011-03-01 09:33:00,5.95,12428.0,Finland,17.85,2011-03-01
106000,545303,22917,HERB MARKER ROSEMARY,12,2011-03-01 12:48:00,0.65,15319.0,United Kingdom,7.800000000000001,2011-03-01
106530,545333,22211,WOOD STAMP SET FLOWERS,10,2011-03-01 16:22:00,3.29,,United Kingdom,32.9,2011-03-01
107060,545408,22492,MINI PAINT SET VINTAGE ,36,2011-03-02 12:10:00,0.65,15067.0,United Kingdom,23.400000000000002,2011-03-02
107590,545460,22650,CERAMIC PIRATE CHEST MONEY BANK,1,2011-03-02 17:33:00,1.45,13230.0,United Kingdom,1.45,2011-03-02
108120,C545504,22777,GLASS CLOCHE LARGE,-1,2011-03-03 11:35:00,8.5,13630.0,United Kingdom,-8.5,2011-03-03
108650,545559,23126,FELTCRAFT GIRL AMELIE KIT,1,2011-03-03 15:31:00,4.95,15005.0,United Kingdom,4.95,2011-03-03
109180,545587,22059,CERAMIC STRAWBERRY DESIGN MUG,9,2011-03-04 09:46:00,1.49,14796.0,United Kingdom,13.41,2011-03-04
109710,545658,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2011-03-04 14:13:00,1.65,14670.0,United Kingdom,1.65,2011-03-04
110240,545682,22999,TRAVEL CARD WALLET RETRO PETALS,2,2011-03-06 11:39:00,0.42,14701.0,United Kingdom,0.84,2011-03-06
110770,545695,22348,TEA BAG PLATE RED RETROSPOT,3,2011-03-06 14:15:00,0.85,17050.0,United Kingdom,2.55,2011-03-06
111300,545716,DOT,DOTCOM POSTAGE,1,2011-03-07 10:15:00,192.29,,United Kingdom,192.29,2011-03-07
111830,545835,22861,EASTER TIN CHICKS IN GARDEN,1,2011-03-07 13:17:00,1.65,17654.0,United Kingdom,1.65,2011-03-07
112360,545895,22379,RECYCLING BAG RETROSPOT ,2,2011-03-07 17:14:00,4.13,,United Kingdom,8.26,2011-03-07
112890,545901,20713,JUMBO BAG OWLS,2,2011-03-07 17:52:00,1.95,15834.0,United Kingdom,3.9,2011-03-07
113420,545978,22094,RED RETROSPOT TISSUE BOX,2,2011-03-08 12:19:00,1.25,13975.0,United Kingdom,2.5,2011-03-08
113950,546003,22970,LONDON BUS COFFEE MUG,6,2011-03-08 15:07:00,2.55,16712.0,United Kingdom,15.299999999999999,2011-03-08
114480,546015,22637,PIGGY BANK RETROSPOT ,4,2011-03-08 16:48:00,2.55,14336.0,United Kingdom,10.2,2011-03-08
115010,546100,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-03-09 12:04:00,3.25,16572.0,United Kingdom,19.5,2011-03-09
115540,546133,22179,SET 10 LIGHTS NIGHT OWL,2,2011-03-09 15:20:00,6.75,14291.0,United Kingdom,13.5,2011-03-09
116070,C546206,21231,SWEETHEART CERAMIC TRINKET BOX,-1,2011-03-10 11:15:00,1.25,13014.0,United Kingdom,-1.25,2011-03-10
116600,546255,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-03-10 14:56:00,1.45,13468.0,United Kingdom,17.4,2011-03-10
117130,546365,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-03-11 11:35:00,1.25,12520.0,Germany,15.0,2011-03-11
117660,C546395,21871,SAVE THE PLANET MUG,-1,2011-03-11 14:29:00,1.25,14214.0,United Kingdom,-1.25,2011-03-11
118190,546424,22251,BIRDHOUSE DECORATION MAGIC GARDEN,2,2011-03-13 12:51:00,1.25,13956.0,United Kingdom,2.5,2011-03-13
118720,546466,22084,PAPER CHAIN KIT EMPIRE,6,2011-03-14 11:04:00,2.95,18118.0,United Kingdom,17.700000000000003,2011-03-14
119250,546537,85014B,RED RETROSPOT UMBRELLA,1,2011-03-14 14:32:00,5.95,15005.0,United Kingdom,5.95,2011-03-14
119780,546622,20713,JUMBO BAG OWLS,2,2011-03-15 11:30:00,1.95,17954.0,United Kingdom,3.9,2011-03-15
120310,546652,22524,CHILDRENS GARDEN GLOVES BLUE,2,2011-03-15 14:18:00,3.29,,United Kingdom,6.58,2011-03-15
120840,546679,21411,GINGHAM HEART  DOORSTOP RED,1,2011-03-15 16:47:00,4.25,13121.0,United Kingdom,4.25,2011-03-15
121370,546759,23053,RECYCLED ACAPULCO MAT PINK,2,2011-03-16 13:58:00,8.25,12712.0,Germany,16.5,2011-03-16
121900,546791,22377,BOTTLE BAG RETROSPOT ,5,2011-03-17 10:38:00,2.1,17716.0,United Kingdom,10.5,2011-03-17
122430,546871,22779,WOODEN OWLS LIGHT GARLAND ,4,2011-03-17 16:10:00,4.25,16746.0,United Kingdom,17.0,2011-03-17
122960,546891,21680,WOODLAND  STICKERS,2,2011-03-17 18:18:00,1.63,,United Kingdom,3.26,2011-03-17
123490,546896,22244,3 HOOK HANGER MAGIC GARDEN,1,2011-03-17 18:24:00,4.13,,United Kingdom,4.13,2011-03-17
124020,546933,21556,CERAMIC STRAWBERRY MONEY BOX,2,2011-03-18 11:02:00,0.0,,United Kingdom,0.0,2011-03-18
124550,546982,22244,3 HOOK HANGER MAGIC GARDEN,1,2011-03-18 12:26:00,1.95,15483.0,United Kingdom,1.95,2011-03-18
125080,547018,22534,MAGIC DRAWING SLATE SPACEBOY ,12,2011-03-18 14:53:00,0.42,17043.0,United Kingdom,5.04,2011-03-18
125610,547051,21164,HOME SWEET HOME METAL SIGN ,6,2011-03-20 12:06:00,2.95,12902.0,United Kingdom,17.700000000000003,2011-03-20
126140,547064,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-03-20 13:38:00,0.42,16096.0,United Kingdom,10.08,2011-03-20
126670,547094,20749,ASSORTED COLOUR MINI CASES,12,2011-03-21 08:39:00,6.35,13934.0,United Kingdom,76.19999999999999,2011-03-21
127200,547202,84078A,SET/4 WHITE RETRO STORAGE CUBES ,1,2011-03-21 13:38:00,39.95,17841.0,United Kingdom,39.95,2011-03-21
127730,547247,22891,TEA FOR ONE POLKADOT,3,2011-03-22 09:01:00,4.25,18225.0,United Kingdom,12.75,2011-03-22
128260,547250,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-03-22 09:30:00,3.29,,United Kingdom,3.29,2011-03-22
128790,547359,22066,LOVE HEART TRINKET POT,6,2011-03-22 12:27:00,0.39,15719.0,United Kingdom,2.34,2011-03-22
129320,547382,22776,SWEETHEART CAKESTAND 3 TIER,2,2011-03-22 15:31:00,9.95,15457.0,United Kingdom,19.9,2011-03-22
129850,547396,20723,STRAWBERRY CHARLOTTE BAG,25,2011-03-22 16:54:00,2.46,,United Kingdom,61.5,2011-03-22
130380,547488,22428,ENAMEL FIRE BUCKET CREAM,2,2011-03-23 11:30:00,6.95,13821.0,United Kingdom,13.9,2011-03-23
130910,547518,85099F,JUMBO BAG STRAWBERRY,100,2011-03-23 14:39:00,1.65,13694.0,United Kingdom,165.0,2011-03-23
131440,547563,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2011-03-24 08:56:00,4.25,15651.0,United Kingdom,17.0,2011-03-24
131970,547651,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2011-03-24 12:11:00,1.45,16904.0,United Kingdom,1.45,2011-03-24
132500,547667,22999,TRAVEL CARD WALLET RETRO PETALS,24,2011-03-24 13:25:00,0.42,16700.0,United Kingdom,10.08,2011-03-24
133030,547719,22423,REGENCY CAKESTAND 3 TIER,6,2011-03-25 10:05:00,12.75,14404.0,United Kingdom,76.5,2011-03-25
133560,547788,22678,FRENCH BLUE METAL DOOR SIGN 3,1,2011-03-25 12:00:00,2.46,,United Kingdom,2.46,2011-03-25
134090,547822,22982,PANTRY PASTRY BRUSH,12,2011-03-25 14:53:00,1.25,12668.0,Germany,15.0,2011-03-25
134620,547860,21407,BROWN CHECK CAT DOORSTOP ,1,2011-03-27 12:21:00,4.25,17625.0,United Kingdom,4.25,2011-03-27
135150,547883,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-03-28 08:40:00,0.65,14755.0,United Kingdom,10.4,2011-03-28
135680,547909,21314,SMALL GLASS HEART TRINKET POT,4,2011-03-28 12:22:00,2.1,15033.0,United Kingdom,8.4,2011-03-28
136210,547940,71038,WHITE HANGING BEADS CANDLE HOLDER,4,2011-03-28 14:43:00,5.45,16814.0,United Kingdom,21.8,2011-03-28
136740,547971,37501,TEA TIME TEA SET IN GIFT BOX,1,2011-03-28 16:37:00,6.95,17917.0,United Kingdom,6.95,2011-03-28
137270,548151,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-03-29 12:57:00,1.69,13803.0,United Kingdom,13.52,2011-03-29
137800,548167,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2011-03-29 13:45:00,8.29,,United Kingdom,16.58,2011-03-29
138330,548194,22299,PIG KEYRING WITH LIGHT & SOUND ,1,2011-03-29 15:30:00,2.46,,United Kingdom,2.46,2011-03-29
138860,548214,22229,BUNNY WOODEN PAINTED WITH FLOWER ,12,2011-03-30 09:17:00,0.85,13720.0,United Kingdom,10.2,2011-03-30
139390,548313,20998,ROSE DU SUD OVEN GLOVE,3,2011-03-30 12:15:00,2.95,15353.0,United Kingdom,8.850000000000001,2011-03-30
139920,548367,85099F,JUMBO BAG STRAWBERRY,100,2011-03-30 15:51:00,1.65,17677.0,United Kingdom,165.0,2011-03-30
140450,548405,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-03-31 09:48:00,4.95,17088.0,United Kingdom,19.8,2011-03-31
140980,548493,22379,RECYCLING BAG RETROSPOT ,50,2011-03-31 13:14:00,1.85,16839.0,United Kingdom,92.5,2011-03-31
141510,548516,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-31 16:28:00,9.96,,United Kingdom,9.96,2011-03-31
142040,548544,22294,HEART FILIGREE DOVE  SMALL,24,2011-03-31 18:49:00,1.25,14525.0,United Kingdom,30.0,2011-03-31
142570,548614,84596F,SMALL MARSHMALLOWS PINK BOWL,8,2011-04-01 11:47:00,0.42,14419.0,United Kingdom,3.36,2011-04-01
143100,548664,21442,GREEN BIRDHOUSE DECORATION,12,2011-04-01 14:45:00,0.85,14911.0,EIRE,10.2,2011-04-01
143630,548708,22255,FELT TOADSTOOL  SMALL,8,2011-04-03 12:41:00,0.85,13269.0,United Kingdom,6.8,2011-04-03
144160,548728,23002,TRAVEL CARD WALLET SKULLS,24,2011-04-04 09:55:00,0.42,13198.0,United Kingdom,10.08,2011-04-04
144690,548796,20711,JUMBO BAG TOYS ,7,2011-04-04 12:42:00,2.08,15752.0,United Kingdom,14.56,2011-04-04
145220,548874,22776,SWEETHEART CAKESTAND 3 TIER,4,2011-04-04 15:18:00,9.95,17716.0,United Kingdom,39.8,2011-04-04
145750,548898,35914,PINK CHICK EGG WARMER + EGG CUP,6,2011-04-04 16:28:00,0.85,17214.0,United Kingdom,5.1,2011-04-04
146280,548984,21213,PACK OF 72 SKULL CAKE CASES,3,2011-04-05 12:37:00,0.55,14546.0,United Kingdom,1.6500000000000001,2011-04-05
146810,549023,21094,SET/6 RED SPOTTY PAPER PLATES,1,2011-04-05 16:27:00,0.83,,United Kingdom,0.83,2011-04-05
147340,549104,21563,RED HEART SHAPE LOVE BUCKET ,2,2011-04-06 11:43:00,2.95,15311.0,United Kingdom,5.9,2011-04-06
147870,549153,84987,SET OF 36 TEATIME PAPER DOILIES,12,2011-04-06 15:47:00,1.45,13771.0,United Kingdom,17.4,2011-04-06
148400,549235,22501,PICNIC BASKET WICKER LARGE,2,2011-04-07 11:16:00,9.95,15530.0,United Kingdom,19.9,2011-04-07
148930,549261,82581,TOILET METAL SIGN,4,2011-04-07 12:35:00,0.55,14903.0,United Kingdom,2.2,2011-04-07
149460,549295,20972,PINK CREAM FELT CRAFT TRINKET BOX ,1,2011-04-07 19:49:00,2.46,,United Kingdom,2.46,2011-04-07
149990,549317,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,2011-04-08 09:58:00,4.15,15109.0,United Kingdom,16.6,2011-04-08
150520,549446,21982,PACK OF 12 SUKI TISSUES ,24,2011-04-08 13:14:00,0.29,17054.0,United Kingdom,6.959999999999999,2011-04-08
151050,549537,22260,FELT EGG COSY BLUE RABBIT ,1,2011-04-08 17:22:00,0.85,,United Kingdom,0.85,2011-04-08
151580,549560,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,2011-04-10 13:26:00,1.65,15058.0,United Kingdom,3.3,2011-04-10
152110,549577,22540,MINI JIGSAW CIRCUS PARADE ,24,2011-04-11 08:16:00,0.42,14286.0,United Kingdom,10.08,2011-04-11
152640,549670,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-04-11 12:45:00,0.65,16168.0,United Kingdom,10.4,2011-04-11
153186,549733,21078,SET/20 STRAWBERRY PAPER NAPKINS ,3,2011-04-11 16:56:00,0.85,17827.0,United Kingdom,2.55,2011-04-11
153716,549789,23206,LUNCH BAG APPLE DESIGN,10,2011-04-12 12:00:00,1.65,17160.0,United Kingdom,16.5,2011-04-12
154246,549885,47566,PARTY BUNTING,4,2011-04-12 15:32:00,4.95,17204.0,United Kingdom,19.8,2011-04-12
154776,C549945,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,-3,2011-04-13 12:39:00,12.75,18270.0,United Kingdom,-38.25,2011-04-13
155306,549982,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-13 15:52:00,2.08,17091.0,United Kingdom,20.8,2011-04-13
155836,550016,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,2011-04-14 10:54:00,0.65,15416.0,United Kingdom,7.800000000000001,2011-04-14
156366,550134,21936,RED RETROSPOT PICNIC BAG,5,2011-04-14 13:50:00,2.95,16249.0,United Kingdom,14.75,2011-04-14
156896,C550181,21240,BLUE POLKADOT CUP,-20,2011-04-14 17:43:00,0.85,13069.0,United Kingdom,-17.0,2011-04-14
157426,550205,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-04-15 10:37:00,5.79,,United Kingdom,11.58,2011-04-15
157956,550215,23193,BUFFALO BILL TREASURE BOOK BOX,1,2011-04-15 10:43:00,4.58,,United Kingdom,4.58,2011-04-15
158486,550297,22521,CHILDS GARDEN TROWEL PINK,1,2011-04-15 15:58:00,0.85,14056.0,United Kingdom,0.85,2011-04-15
159016,550321,22273,FELTCRAFT DOLL MOLLY,2,2011-04-17 12:49:00,2.95,16770.0,United Kingdom,5.9,2011-04-17
159546,550343,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-04-17 15:56:00,5.45,12971.0,United Kingdom,16.35,2011-04-17
160076,550447,84978,HANGING HEART JAR T-LIGHT HOLDER,6,2011-04-18 12:36:00,1.25,16033.0,United Kingdom,7.5,2011-04-18
160606,550464,44234,ASSORTED CIRCULAR MOBILE,24,2011-04-18 13:30:00,0.21,16550.0,United Kingdom,5.04,2011-04-18
161136,550471,22494,EMERGENCY FIRST AID TIN ,1,2011-04-18 13:52:00,2.46,,United Kingdom,2.46,2011-04-18
161666,550478,22077,6 RIBBONS RUSTIC CHARM,12,2011-04-18 14:01:00,1.65,15755.0,United Kingdom,19.799999999999997,2011-04-18
162196,550499,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2011-04-18 15:16:00,10.79,,United Kingdom,10.79,2011-04-18
162726,550515,21986,PACK OF 12 PINK POLKADOT TISSUES,4,2011-04-18 17:29:00,0.29,14502.0,United Kingdom,1.16,2011-04-18
163256,550541,21208,PASTEL COLOUR HONEYCOMB FAN,1,2011-04-19 11:33:00,3.29,,United Kingdom,3.29,2011-04-19
163786,550626,21677,HEARTS  STICKERS,6,2011-04-19 14:23:00,0.85,13184.0,United Kingdom,5.1,2011-04-19
164316,550638,22265,EASTER DECORATION NATURAL CHICK,2,2011-04-19 15:44:00,1.25,,United Kingdom,2.5,2011-04-19
164846,550712,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,2011-04-20 11:06:00,2.25,15159.0,United Kingdom,13.5,2011-04-20
165376,550785,22995,TRAVEL CARD WALLET SUKI,24,2011-04-20 14:02:00,0.42,15517.0,United Kingdom,10.08,2011-04-20
165906,550834,15058B,PINK POLKADOT GARDEN PARASOL,1,2011-04-21 10:51:00,7.95,14730.0,United Kingdom,7.95,2011-04-21
166436,550918,22605,WOODEN CROQUET GARDEN SET,1,2011-04-21 14:03:00,14.95,17630.0,United Kingdom,14.95,2011-04-21
166966,550958,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-04-21 16:37:00,2.95,15281.0,United Kingdom,17.700000000000003,2011-04-21
167496,550989,85132A,CHARLIE + LOLA BISCUITS TINS,2,2011-04-21 18:22:00,1.95,13969.0,United Kingdom,3.9,2011-04-21
168026,551010,21931,JUMBO STORAGE BAG SUKI,6,2011-04-26 09:52:00,4.13,,United Kingdom,24.78,2011-04-26
168556,551058,22321,BIRD DECORATION RED RETROSPOT,1,2011-04-26 12:07:00,0.85,14606.0,United Kingdom,0.85,2011-04-26
169086,551160,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2011-04-26 15:04:00,8.5,15237.0,United Kingdom,17.0,2011-04-26
169616,551194,22200,FRYING PAN PINK POLKADOT,1,2011-04-27 11:12:00,4.25,14606.0,United Kingdom,4.25,2011-04-27
170146,551278,22779,WOODEN OWLS LIGHT GARLAND ,8,2011-04-27 13:13:00,4.25,12483.0,Sweden,34.0,2011-04-27
170676,551340,21063,PARTY INVITES JAZZ HEARTS,1,2011-04-27 17:23:00,1.63,,United Kingdom,1.63,2011-04-27
171206,551396,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,1,2011-04-28 12:49:00,14.95,17720.0,United Kingdom,14.95,2011-04-28
171736,551462,22669,RED BABY BUNTING ,5,2011-04-28 16:11:00,2.95,15210.0,United Kingdom,14.75,2011-04-28
172266,551527,21756,BATH BUILDING BLOCK WORD,6,2011-05-01 12:41:00,5.95,14395.0,United Kingdom,35.7,2011-05-01
172796,551560,20840,FRENCH FLORAL CUSHION COVER ,6,2011-05-03 10:43:00,0.85,16133.0,United Kingdom,5.1,2011-05-03
173326,551690,21143,,-9,2011-05-03 13:35:00,0.0,,United Kingdom,-0.0,2011-05-03
173856,551724,22500,SET OF 2 TINS JARDIN DE PROVENCE,1,2011-05-03 17:12:00,4.95,15976.0,United Kingdom,4.95,2011-05-03
174386,551812,22996,TRAVEL CARD WALLET VINTAGE TICKET,24,2011-05-04 11:39:00,0.42,15527.0,United Kingdom,10.08,2011-05-04
174916,551858,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2011-05-04 15:33:00,0.29,18041.0,United Kingdom,6.959999999999999,2011-05-04
175446,551959,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-05-05 12:38:00,1.45,13883.0,United Kingdom,17.4,2011-05-05
175976,551995,23145,ZINC T-LIGHT HOLDER STAR LARGE,2,2011-05-05 15:42:00,2.08,,United Kingdom,4.16,2011-05-05
176506,552000,71459,HANGING JAM JAR T-LIGHT HOLDER,4,2011-05-05 15:56:00,1.66,,United Kingdom,6.64,2011-05-05
177036,552039,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,2011-05-06 08:10:00,0.85,13081.0,United Kingdom,10.2,2011-05-06
177566,552134,22193,RED DINER WALL CLOCK,4,2011-05-06 11:50:00,8.5,14944.0,United Kingdom,34.0,2011-05-06
178096,552229,22969,HOMEMADE JAM SCENTED CANDLES,3,2011-05-06 15:40:00,3.29,,United Kingdom,9.870000000000001,2011-05-06
178626,552234,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,2011-05-06 16:01:00,6.63,,United Kingdom,6.63,2011-05-06
179156,552264,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2011-05-08 11:38:00,1.69,14959.0,United Kingdom,54.08,2011-05-08
179686,552285,22730,ALARM CLOCK BAKELIKE IVORY,1,2011-05-08 12:58:00,3.75,14684.0,United Kingdom,3.75,2011-05-08
180216,552309,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-05-08 15:22:00,1.95,13835.0,United Kingdom,15.6,2011-05-08
180746,552338,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,2011-05-09 11:51:00,1.65,,United Kingdom,1.65,2011-05-09
181276,552460,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,2011-05-09 14:44:00,2.95,13178.0,United Kingdom,35.400000000000006,2011-05-09
181806,552508,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2011-05-09 16:27:00,3.29,,United Kingdom,3.29,2011-05-09
182336,552539,22961,JAM MAKING SET PRINTED,12,2011-05-10 10:17:00,1.45,,EIRE,17.4,2011-05-10
182866,552614,84991,60 TEATIME FAIRY CAKE CASES,24,2011-05-10 12:51:00,0.55,14849.0,United Kingdom,13.200000000000001,2011-05-10
183396,552659,82583,HOT BATHS METAL SIGN,2,2011-05-10 15:03:00,4.96,,United Kingdom,9.92,2011-05-10
183926,552672,22381,TOY TIDY PINK POLKADOT,3,2011-05-10 15:06:00,4.96,,United Kingdom,14.879999999999999,2011-05-10
184456,552690,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-05-10 15:10:00,2.95,16676.0,United Kingdom,17.700000000000003,2011-05-10
185033,552727,23110,PARISIENNE KEY CABINET ,2,2011-05-11 10:32:00,5.75,14920.0,United Kingdom,11.5,2011-05-11
185563,552821,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,1,2011-05-11 12:58:00,1.25,18118.0,United Kingdom,1.25,2011-05-11
186093,552847,90160A,PURPLE BOUDICCA LARGE BRACELET,3,2011-05-11 14:42:00,6.95,14649.0,United Kingdom,20.85,2011-05-11
186623,552874,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,4,2011-05-12 09:40:00,3.75,12621.0,Germany,15.0,2011-05-12
187153,552951,22315,200 RED + WHITE BENDY STRAWS,1,2011-05-12 12:05:00,1.25,14988.0,United Kingdom,1.25,2011-05-12
187683,553004,22082,RIBBON REEL STRIPES DESIGN ,5,2011-05-12 16:11:00,1.65,17764.0,United Kingdom,8.25,2011-05-12
188213,553017,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-05-12 19:01:00,2.08,12757.0,Portugal,20.8,2011-05-12
188743,553059,22460,EMBOSSED GLASS TEALIGHT HOLDER,96,2011-05-13 10:44:00,1.06,16660.0,United Kingdom,101.76,2011-05-13
189273,553146,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-05-13 13:52:00,3.95,14873.0,United Kingdom,15.8,2011-05-13
189803,553167,20675,BLUE POLKADOT BOWL,5,2011-05-13 16:19:00,2.46,,United Kingdom,12.3,2011-05-13
190333,553189,21718,RED METAL BEACH SPADE ,3,2011-05-15 13:14:00,1.25,15033.0,United Kingdom,3.75,2011-05-15
190863,553214,22673,FRENCH GARDEN SIGN BLUE METAL,12,2011-05-16 09:49:00,1.25,13408.0,United Kingdom,15.0,2011-05-16
191393,553356,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2011-05-16 14:05:00,2.08,14038.0,United Kingdom,20.8,2011-05-16
191923,553388,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,2,2011-05-16 16:36:00,0.83,15910.0,United Kingdom,1.66,2011-05-16
192453,553415,POST,POSTAGE,2,2011-05-17 10:02:00,18.0,12463.0,Belgium,36.0,2011-05-17
192983,553499,23092,LARGE ANTIQUE WHITE PHOTO FRAME,12,2011-05-17 12:57:00,6.65,17504.0,United Kingdom,79.80000000000001,2011-05-17
193513,553537,22970,LONDON BUS COFFEE MUG,6,2011-05-17 15:25:00,2.55,14032.0,United Kingdom,15.299999999999999,2011-05-17
194043,553549,21991,BOHEMIAN COLLAGE STATIONERY SET,2,2011-05-17 16:09:00,2.46,,United Kingdom,4.92,2011-05-17
194573,553657,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2011-05-18 11:28:00,1.45,14583.0,United Kingdom,5.8,2011-05-18
195103,553691,23141,TRIPLE WIRE HOOK PINK HEART,1,2011-05-18 14:08:00,4.15,15311.0,United Kingdom,4.15,2011-05-18
195633,553731,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2011-05-19 08:26:00,2.95,12481.0,Germany,17.700000000000003,2011-05-19
196163,553829,22149,FELTCRAFT 6 FLOWER FRIENDS,12,2011-05-19 11:28:00,2.1,16455.0,United Kingdom,25.200000000000003,2011-05-19
196704,553860,22537,MAGIC DRAWING SLATE DINOSAUR,1,2011-05-19 13:57:00,0.42,17841.0,United Kingdom,0.42,2011-05-19
197234,553890,22921,HERB MARKER CHIVES ,2,2011-05-19 16:32:00,1.63,,United Kingdom,3.26,2011-05-19
197764,553935,21084,SET/6 COLLAGE PAPER CUPS,19,2011-05-20 10:32:00,0.19,15856.0,United Kingdom,3.61,2011-05-20
198294,554030,21912,VINTAGE SNAKES & LADDERS,4,2011-05-20 13:56:00,3.75,16497.0,United Kingdom,15.0,2011-05-20
198824,554070,22423,REGENCY CAKESTAND 3 TIER,2,2011-05-22 11:06:00,12.75,13555.0,United Kingdom,25.5,2011-05-22
199354,554096,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,6,2011-05-22 12:51:00,1.65,14921.0,United Kingdom,9.899999999999999,2011-05-22
199884,554104,16168M,FUNKY MONKEY GIFT BAG MEDIUM,24,2011-05-22 14:03:00,0.42,12705.0,Germany,10.08,2011-05-22
200414,554132,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-05-23 09:43:00,1.65,12360.0,Austria,19.799999999999997,2011-05-23
200944,554163,85132A,CHARLIE + LOLA BISCUITS TINS,2,2011-05-23 11:52:00,1.95,14573.0,United Kingdom,3.9,2011-05-23
201474,554286,22847,BREAD BIN DINER STYLE IVORY,4,2011-05-23 14:16:00,14.95,17686.0,United Kingdom,59.8,2011-05-23
202004,554349,15034,PAPER POCKET TRAVELING FAN ,24,2011-05-24 08:49:00,0.14,14191.0,United Kingdom,3.3600000000000003,2011-05-24
202534,554465,48185,DOORMAT FAIRY CAKE,2,2011-05-24 12:36:00,7.95,13534.0,United Kingdom,15.9,2011-05-24
203064,554511,90200D,PINK SWEETHEART BRACELET,3,2011-05-24 15:52:00,4.15,,United Kingdom,12.450000000000001,2011-05-24
203594,554526,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-05-24 17:24:00,4.15,,United Kingdom,8.3,2011-05-24
204124,554636,23009,I LOVE LONDON BABY GIFT SET,6,2011-05-25 11:52:00,14.95,16763.0,United Kingdom,89.69999999999999,2011-05-25
204654,554683,22979,PANTRY WASHING UP BRUSH,1,2011-05-25 16:09:00,1.45,,United Kingdom,1.45,2011-05-25
205184,554714,82580,BATHROOM METAL SIGN,2,2011-05-26 10:44:00,1.25,,United Kingdom,2.5,2011-05-26
205714,554830,21904,,3,2011-05-26 15:22:00,0.0,,United Kingdom,0.0,2011-05-26
206244,554918,84596F,SMALL MARSHMALLOWS PINK BOWL,2,2011-05-27 12:29:00,0.42,17345.0,United Kingdom,0.84,2011-05-27
206774,554956,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,8,2011-05-27 15:17:00,4.13,,United Kingdom,33.04,2011-05-27
207304,554984,47590A,BLUE HAPPY BIRTHDAY BUNTING,20,2011-05-29 12:19:00,5.45,17152.0,United Kingdom,109.0,2011-05-29
207834,555009,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-05-31 10:32:00,3.75,17340.0,United Kingdom,15.0,2011-05-31
